開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-01-31,1,4,2024-01-31,5,0,0.3122998593483378,0,True
2024-01-31,1,5,2024-01-31,2,0,0.20166696080236163,0,True
2024-01-31,1,6,2024-01-31,4,0,0.6102950678990271,1,False
2024-01-31,1,7,2024-01-31,6,0,0.5394277754262812,1,False
2024-01-31,1,8,2024-01-31,1,1,0.8504707761387683,1,True
2024-01-31,1,9,2024-01-31,2,0,0.7248812090184452,1,False
2024-01-31,1,11,2024-01-31,1,1,0.735582036208455,1,True
2024-01-31,1,12,2024-01-31,1,1,0.7126691415275348,1,True
2024-02-01,2,1,2024-02-01,1,1,0.5434724390245768,1,True
2024-02-01,2,2,2024-02-01,3,0,0.1420244663478018,0,True
2024-02-01,2,3,2024-02-01,6,0,0.4990339060456359,0,True
2024-02-01,2,4,2024-02-01,2,0,0.34522742069809187,0,True
2024-02-01,2,5,2024-02-01,1,1,0.3526365455043543,0,False
2024-02-01,2,6,2024-02-01,1,1,0.30301946535305296,0,False
2024-02-01,2,7,2024-02-01,5,0,0.5175090342911173,1,False
2024-02-01,2,8,2024-02-01,2,0,0.42052922080894084,0,True
2024-02-01,2,9,2024-02-01,2,0,0.6238718695929697,1,False
2024-02-01,2,10,2024-02-01,1,1,0.7454923105230216,1,True
2024-02-01,2,11,2024-02-01,4,0,0.235545836547649,0,True
2024-02-01,2,12,2024-02-01,1,1,0.8151140367889198,1,True
2024-02-02,3,2,2024-02-02,6,0,0.6685472940612045,1,False
2024-02-02,3,3,2024-02-02,6,0,0.3606802439183426,0,True
2024-02-02,3,4,2024-02-02,1,1,0.13011673987844327,0,False
2024-02-02,3,5,2024-02-02,1,1,0.630415151851942,1,True
2024-02-02,3,6,2024-02-02,2,0,0.40103731398387055,0,True
2024-02-02,3,7,2024-02-02,2,0,0.18791133299930243,0,True
2024-02-02,3,8,2024-02-02,2,0,0.7904752185920374,1,False
2024-02-02,3,9,2024-02-02,1,1,0.8330639070869249,1,True
2024-02-02,3,10,2024-02-02,6,0,0.4507013999278332,0,True
2024-02-02,3,11,2024-02-02,1,1,0.8187731668299063,1,True
2024-02-02,3,12,2024-02-02,1,1,0.7376073997546956,1,True
2024-02-03,4,1,2024-02-03,4,0,0.16353664077145688,0,True
2024-02-03,4,2,2024-02-03,3,0,0.5351849762833579,1,False
2024-02-03,4,3,2024-02-03,1,1,0.43453555894968887,0,False
2024-02-03,4,4,2024-02-03,2,0,0.4976005223422389,0,True
2024-02-03,4,5,2024-02-03,1,1,0.3983350213934964,0,False
2024-02-03,4,6,2024-02-03,1,1,0.6695989972578371,1,True
2024-02-03,4,7,2024-02-03,1,1,0.6706126728769098,1,True
2024-02-03,4,8,2024-02-03,1,1,0.7262929468441662,1,True
2024-02-03,4,9,2024-02-03,2,0,0.7493722445379558,1,False
2024-02-03,4,10,2024-02-03,1,1,0.6280980303935556,1,True
2024-02-03,4,11,2024-02-03,3,0,0.32664998118588745,0,True
2024-02-03,4,12,2024-02-03,1,1,0.827380843126524,1,True
2024-02-04,5,1,2024-02-04,1,1,0.2997054553887713,0,False
2024-02-04,5,2,2024-02-04,1,1,0.3529503918733569,0,False
2024-02-04,5,3,2024-02-04,3,0,0.052996540925946335,0,True
2024-02-04,5,4,2024-02-04,5,0,0.4852487052319436,0,True
2024-02-04,5,5,2024-02-04,5,0,0.43315378084780076,0,True
2024-02-04,5,6,2024-02-04,1,1,0.7571487286261923,1,True
2024-02-04,5,7,2024-02-04,1,1,0.6390195488661647,1,True
2024-02-04,5,8,2024-02-04,1,1,0.5977487886952381,1,True
2024-02-04,5,9,2024-02-04,1,1,0.7685230052201468,1,True
2024-02-04,5,10,2024-02-04,1,1,0.8351042333498205,1,True
2024-02-04,5,11,2024-02-04,1,1,0.7695319847607563,1,True
2024-02-04,5,12,2024-02-04,2,0,0.7548757106490864,1,False
2024-02-05,6,1,2024-02-05,1,1,0.3108206730626785,0,False
2024-02-05,6,2,2024-02-05,1,1,0.6502751509696146,1,True
2024-02-05,6,3,2024-02-05,2,0,0.44566544624686966,0,True
2024-02-05,6,4,2024-02-05,1,1,0.32108267766375614,0,False
2024-02-05,6,5,2024-02-05,1,1,0.7694929848200601,1,True
2024-02-05,6,6,2024-02-05,2,0,0.19843265280216263,0,True
2024-02-05,6,7,2024-02-05,5,0,0.7502276293167851,1,False
2024-02-05,6,8,2024-02-05,1,1,0.6791216775811444,1,True
2024-02-05,6,9,2024-02-05,1,1,0.8467915250705271,1,True
2024-02-05,6,10,2024-02-05,1,1,0.7766188967432711,1,True
2024-02-05,6,11,2024-02-05,4,0,0.7884364935566309,1,False
2024-02-05,6,12,2024-02-05,1,1,0.6668369697547648,1,True
2024-02-06,7,2,2024-02-06,1,1,0.5857764901820641,1,True
2024-02-06,7,3,2024-02-06,1,1,0.6673814833799713,1,True
2024-02-06,7,4,2024-02-06,2,0,0.49241818303711576,0,True
2024-02-06,7,5,2024-02-06,1,1,0.7051973655429582,1,True
2024-02-06,7,6,2024-02-06,1,1,0.7603790554654701,1,True
2024-02-06,7,7,2024-02-06,2,0,0.6783451409682909,1,False
2024-02-06,7,8,2024-02-06,1,1,0.6955061600661077,1,True
2024-02-06,7,9,2024-02-06,6,0,0.4307055917308469,0,True
2024-02-06,7,10,2024-02-06,4,0,0.6608913204848264,1,False
2024-02-06,7,12,2024-02-06,1,1,0.7621833298717817,1,True
2024-02-11,1,1,2024-02-11,1,1,0.7868696266712001,1,True
2024-02-11,1,2,2024-02-11,3,0,0.6304531482782421,1,False
2024-02-11,1,3,2024-02-11,1,1,0.7740975377057834,1,True
2024-02-11,1,4,2024-02-11,3,0,0.6735621382088431,1,False
2024-02-11,1,5,2024-02-11,1,1,0.42692885283733206,0,False
2024-02-11,1,6,2024-02-11,1,1,0.31672049831103855,0,False
2024-02-11,1,8,2024-02-11,1,1,0.692608467065986,1,True
2024-02-11,1,9,2024-02-11,1,1,0.6055931425176783,1,True
2024-02-11,1,10,2024-02-11,2,0,0.2705938967969148,0,True
2024-02-11,1,11,2024-02-11,1,1,0.793995878518407,1,True
2024-02-11,1,12,2024-02-11,1,1,0.6819079505269792,1,True
2024-02-12,2,1,2024-02-12,1,1,0.8651472410863762,1,True
2024-02-12,2,2,2024-02-12,1,1,0.8289748715593629,1,True
2024-02-12,2,3,2024-02-12,2,0,0.5319580812716316,1,False
2024-02-12,2,4,2024-02-12,1,1,0.7722785787876179,1,True
2024-02-12,2,5,2024-02-12,1,1,0.6220197121187393,1,True
2024-02-12,2,6,2024-02-12,1,1,0.7913292603068872,1,True
2024-02-12,2,7,2024-02-12,1,1,0.8154678768946071,1,True
2024-02-12,2,10,2024-02-12,1,1,0.8584634065779332,1,True
