race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-07-18_R12,3-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-19_R2,2-6-4,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
2025-07-19_R4,6-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-19_R5,2-3-5,1,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-07-19_R7,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-19_R9,2-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-20_R4,4-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-20_R7,4-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-21_R4,2-3-5,0,2-1-3,2-4-3,2-5-3,2-6-3,3-1-2
2025-07-21_R7,4-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-21_R9,5-1-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-21_R11,2-3-5,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
2025-07-21_R12,4-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-22_R3,4-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-22_R4,6-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-22_R7,5-3-2,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-07-22_R9,2-3-1,1,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-07-22_R11,3-4-2,1,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
2025-07-22_R12,2-4-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-25_R1,4-5-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-25_R2,3-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
