開催日,レース,着,艇,登番,モーター,展示,進入,スタート,boat1_win
2025-01-17,6,1,3,4151,26,6.81,1,0.15,0
2025-01-17,6,2,2,4560,36,6.79,2,0.12,0
2025-01-17,6,3,1,4537,18,6.79,3,0.07,0
2025-01-17,6,4,4,4754,45,6.77,4,0.13,0
2025-01-17,6,5,5,5199,49,6.81,5,0.12,0
2025-01-17,6,6,6,4097,5,6.97,6,0.24,0
2025-01-17,7,1,2,4214,38,6.74,1,0.16,0
2025-01-17,7,2,5,4809,9,6.82,2,0.19,0
2025-01-17,7,3,1,4949,20,6.82,3,0.16,0
2025-01-17,7,4,6,4425,55,6.8,4,0.19,0
2025-01-17,7,5,4,4465,34,6.78,5,0.16,0
2025-01-17,7,6,3,4566,52,6.81,6,0.23,0
2025-01-17,9,1,2,4258,27,6.83,1,0.12,0
2025-01-17,9,2,4,4623,13,6.8,2,0.22,0
2025-01-17,9,3,5,3851,40,6.83,3,0.18,0
2025-01-17,9,4,1,4561,29,6.6,5,0.21,0
2025-01-17,9,5,6,4169,63,6.82,4,0.25,0
2025-01-17,9,6,3,3955,10,6.89,6,0.23,0
2025-01-17,10,1,2,3606,66,6.81,1,0.12,0
2025-01-17,10,2,1,5267,4,6.74,2,0.08,0
2025-01-17,10,3,5,4186,31,6.85,3,0.09,0
2025-01-17,10,4,3,4600,25,6.76,4,0.09,0
2025-01-17,10,5,4,4754,45,6.8,5,0.16,0
2025-01-17,10,6,6,3277,58,6.74,6,0.24,0
2025-01-18,4,1,3,4097,5,6.84,2,0.13,0
2025-01-18,4,2,5,5181,57,6.79,3,0.08,0
2025-01-18,4,3,1,4460,15,6.8,4,0.11,0
2025-01-18,4,4,2,4566,52,6.79,1,0.06,0
2025-01-18,4,5,6,4531,21,6.8,5,0.13,0
2025-01-18,4,6,4,3761,14,6.81,6,0.12,0
2025-01-18,5,1,5,3851,40,6.78,1,0.16,0
2025-01-18,5,2,6,4931,56,6.82,2,0.14,0
2025-01-18,5,3,1,4754,45,6.77,3,0.16,0
2025-01-18,5,4,2,4560,36,6.69,4,0.15,0
2025-01-18,5,5,4,4809,9,6.8,5,0.19,0
2025-01-18,5,6,3,3606,66,6.74,6,0.21,0
2025-01-18,7,1,2,4926,53,6.72,1,0.08,0
2025-01-18,7,2,1,4949,20,6.78,2,0.07,0
2025-01-18,7,3,3,5267,4,6.78,3,0.08,0
2025-01-18,7,4,4,4465,34,6.88,4,0.13,0
2025-01-18,7,5,5,5031,22,6.85,5,0.07,0
2025-01-18,7,6,6,3647,37,6.93,6,0.08,0
2025-01-18,9,1,2,4134,17,6.85,1,0.16,0
2025-01-18,9,2,6,4531,21,6.82,2,0.22,0
2025-01-18,9,3,4,3690,16,6.82,3,0.19,0
2025-01-18,9,4,3,3742,62,6.86,4,0.16,0
2025-01-18,9,5,1,4560,36,6.81,5,0.17,0
2025-01-18,9,6,5,4258,27,6.91,6,0.23,0
2025-01-18,11,1,2,4460,15,6.74,1,0.15,0
2025-01-18,11,2,1,4926,53,6.75,2,0.13,0
2025-01-18,11,3,3,4600,25,6.76,3,0.11,0
2025-01-18,11,4,6,5032,30,6.81,4,0.24,0
2025-01-18,11,5,5,3606,66,6.86,5,0.16,0
2025-01-18,11,6,4,4537,18,6.86,6,0.14,0
2025-01-18,12,1,4,4302,41,6.73,1,0.21,0
2025-01-18,12,2,3,4043,46,6.87,2,0.22,0
2025-01-18,12,3,6,4425,55,6.87,3,0.17,0
2025-01-18,12,4,2,4953,23,6.69,4,0.12,0
2025-01-18,12,5,1,5267,4,6.85,5,0.11,0
2025-01-18,12,6,5,4931,56,6.85,6,0.19,0
2025-01-19,1,1,6,4169,63,6.81,1,0.23,0
2025-01-19,1,2,4,3851,40,6.87,2,0.34,0
2025-01-19,1,3,1,3761,14,6.79,3,0.35,0
2025-01-19,1,4,5,5336,39,6.84,4,0.25,0
2025-01-19,1,5,2,5031,22,6.74,5,0.33,0
2025-01-19,1,6,3,4281,65,6.81,6,0.29,0
2025-01-19,4,1,5,4561,29,6.66,2,0.22,0
2025-01-19,4,2,1,4034,19,6.81,1,0.18,0
2025-01-19,4,3,2,3606,66,6.85,3,0.2,0
2025-01-19,4,4,6,4186,31,6.87,4,0.11,0
2025-01-19,4,5,4,3647,37,6.86,5,0.12,0
2025-01-19,4,6,3,4926,53,6.72,6,0.19,0
2025-01-20,2,1,6,4186,31,6.73,1,0.29,0
2025-01-20,2,2,5,4034,19,6.83,2,0.29,0
2025-01-20,2,3,1,4809,9,6.83,3,0.3,0
2025-01-20,2,4,2,3742,62,6.86,4,0.26,0
2025-01-20,2,5,3,4214,38,6.89,5,0.26,0
2025-01-20,2,6,4,4169,63,6.84,6,0.28,0
2025-01-20,6,1,4,4561,29,6.68,1,0.19,0
2025-01-20,6,2,6,5031,22,6.9,2,0.19,0
2025-01-20,6,3,1,5267,4,6.77,3,0.06,0
2025-01-20,6,4,3,3955,10,6.81,4,0.18,0
2025-01-20,6,5,2,4809,9,6.88,5,0.08,0
2025-01-20,6,6,5,3851,40,6.89,6,0.15,0
2025-01-20,9,1,2,4931,56,6.8,1,0.12,0
2025-01-20,9,2,6,3647,37,6.84,2,0.14,0
2025-01-20,9,3,1,3690,16,6.87,3,0.12,0
2025-01-20,9,4,4,4465,34,6.89,4,0.15,0
2025-01-20,9,5,3,5181,57,6.86,5,0.14,0
2025-01-20,9,6,5,4531,21,6.86,6,0.17,0
2025-01-20,10,1,4,4560,36,6.74,1,0.18,0
2025-01-20,10,2,6,4953,23,6.78,2,0.22,0
2025-01-20,10,3,2,3955,10,6.83,3,0.19,0
2025-01-20,10,4,5,4034,19,6.83,4,0.18,0
2025-01-20,10,5,3,4134,17,6.84,6,0.16,0
2025-01-20,10,6,1,4561,29,6.59,5,0.09,0
2025-01-20,11,1,2,4537,18,6.81,1,0.07,0
2025-01-20,11,2,5,5267,4,6.8,2,0.09,0
2025-01-20,11,3,1,4566,52,6.96,3,0.1,0
2025-01-20,11,4,3,4754,45,6.85,4,0.13,0
2025-01-20,11,5,4,4302,41,6.88,5,0.14,0
2025-01-20,11,6,6,5032,30,6.88,6,0.19,0
2025-01-25,3,1,6,4527,5,6.77,1,0.28,0
2025-01-25,3,2,2,3855,22,6.77,3,0.23,0
2025-01-25,3,3,5,5317,8,6.78,4,0.26,0
2025-01-25,3,4,1,3920,7,6.76,2,0.19,0
2025-01-25,3,5,4,3898,50,6.84,5,0.32,0
2025-01-25,3,6,3,3475,3,6.84,6,0.33,0
2025-01-25,4,1,4,4203,14,6.78,1,0.11,0
2025-01-25,4,2,1,4690,43,6.72,2,0.13,0
2025-01-25,4,3,3,4254,32,6.69,3,0.11,0
2025-01-25,4,4,5,5274,26,6.77,4,0.18,0
2025-01-25,4,5,6,5309,30,6.81,5,0.14,0
2025-01-25,4,6,2,4084,49,6.81,6,0.16,0
2025-01-25,5,1,6,3947,34,6.72,1,0.12,0
2025-01-25,5,2,3,4447,20,6.79,2,0.11,0
2025-01-25,5,3,1,4856,58,6.76,3,0.18,0
2025-01-25,5,4,2,4154,15,6.78,4,0.23,0
2025-01-25,5,5,5,5157,28,6.73,5,0.17,0
2025-01-25,5,6,4,4798,33,6.77,6,0.18,0
2025-01-25,6,1,2,3771,55,6.79,1,0.16,0
2025-01-25,6,2,4,4244,57,6.76,2,0.18,0
2025-01-25,6,3,1,4344,41,6.8,3,0.19,0
2025-01-25,6,4,3,4095,27,6.77,4,0.21,0
2025-01-25,6,5,5,4747,17,6.8,5,0.2,0
2025-01-25,6,6,6,3974,1,6.81,6,0.18,0
2025-01-25,12,1,6,4344,41,6.73,1,0.27,0
