開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差
2023-12-03,6,8,1-3-2,12.0,10.24040365191387,-1.7595963480861307
2023-12-03,6,9,1-4-2,13.0,13.094133849428351,0.09413384942835101
2023-12-03,6,11,1-4-2,37.2,12.11956261543683,-25.080437384563172
2023-12-05,1,1,1-4-2,23.5,21.08711520308694,-2.4128847969130582
2023-12-05,1,2,1-2-5,14.1,14.50129915495892,0.4012991549589202
2023-12-05,1,7,1-3-4,23.3,17.85613852730061,-5.443861472699389
2023-12-05,1,8,1-3-2,17.4,16.43934126332048,-0.9606587366795196
2023-12-05,1,9,1-4-2,51.4,52.57644622636023,1.176446226360234
2023-12-05,1,10,1-5-3,14.8,27.8876125890881,13.0876125890881
2023-12-06,2,2,1-2-6,19.9,36.58905207079928,16.689052070799285
2023-12-06,2,3,1-6-3,19.5,42.764494609721375,23.264494609721375
2023-12-06,2,5,1-2-3,11.4,20.650682760918148,9.250682760918147
2023-12-06,2,6,1-3-5,14.5,16.768790739356202,2.268790739356202
2023-12-06,2,8,1-4-2,7.0,8.389511978819312,1.3895119788193124
2023-12-06,2,9,1-3-4,7.8,12.395399203118991,4.595399203118991
2023-12-06,2,10,1-5-4,34.2,19.128580725682706,-15.071419274317297
2023-12-06,2,11,1-2-6,36.1,16.090988544670996,-20.009011455329006
2023-12-06,2,12,1-4-6,8.1,29.624566437258025,21.524566437258024
2023-12-07,3,1,1-2-6,44.2,28.347319607500843,-15.85268039249916
2023-12-07,3,2,1-3-5,10.5,27.978320355245533,17.478320355245533
2023-12-07,3,4,1-2-6,38.6,29.819558192355835,-8.780441807644166
2023-12-07,3,6,1-4-3,6.2,8.889583219372167,2.6895832193721665
2023-12-07,3,12,1-4-6,13.7,30.832061327047892,17.132061327047893
2023-12-08,4,3,1-3-4,9.5,46.751466627575056,37.251466627575056
2023-12-08,4,6,1-2-3,6.3,15.83435194861164,9.53435194861164
2023-12-08,4,7,1-6-2,18.0,19.022004405598036,1.022004405598036
2023-12-08,4,8,1-4-3,12.6,8.390804657552785,-4.209195342447215
2023-12-08,4,10,1-5-6,89.9,32.74513852151894,-57.15486147848107
2023-12-08,4,11,1-2-3,5.1,8.721024853102623,3.6210248531026235
2023-12-08,4,12,1-3-4,10.4,11.361359656758149,0.9613596567581482
2023-12-10,1,1,1-3-2,13.5,13.549857080056038,0.04985708005603762
2023-12-10,1,3,1-4-6,22.6,21.518584789037774,-1.081415210962227
2023-12-10,1,4,1-4-2,8.3,14.842114425289763,6.542114425289762
2023-12-10,1,11,1-6-3,40.6,47.98527603546563,7.38527603546563
2023-12-11,2,1,1-4-3,19.0,18.49065060894782,-0.5093493910521794
2023-12-11,2,3,1-4-6,45.1,21.783165150697318,-23.316834849302683
2023-12-11,2,6,1-4-6,34.0,19.70190868620889,-14.298091313791112
2023-12-11,2,8,1-3-4,8.5,8.106300308949162,-0.3936996910508377
2023-12-11,2,10,1-2-5,7.8,10.8357691593203,3.0357691593203002
2023-12-11,2,11,1-2-5,8.4,9.50419093605577,1.104190936055769
2023-12-11,2,12,1-4-2,13.9,13.820135657540762,-0.07986434245923846
2023-12-12,3,1,1-6-2,65.0,45.76234632844733,-19.23765367155267
2023-12-12,3,2,1-6-2,32.1,46.71350488547957,14.613504885479571
2023-12-12,3,3,1-4-5,37.9,25.9850270205192,-11.914972979480797
2023-12-12,3,4,1-3-4,18.9,9.006262552715139,-9.89373744728486
2023-12-12,3,5,1-4-3,11.8,15.926008157217995,4.126008157217994
2023-12-12,3,6,1-4-6,77.9,18.78721089380801,-59.112789106192
2023-12-12,3,9,1-6-5,73.7,28.484121020438266,-45.21587897956174
2023-12-12,3,10,1-3-4,6.3,11.312063218466207,5.012063218466207
2023-12-12,3,12,1-2-3,12.7,9.763334889075004,-2.936665110924995
2023-12-13,4,1,1-2-4,12.5,9.144199432562237,-3.355800567437763
2023-12-13,4,3,1-6-3,80.2,34.93355910761436,-45.266440892385646
2023-12-13,4,5,1-3-4,44.6,7.799692568435858,-36.80030743156414
2023-12-13,4,6,1-2-3,26.4,7.353964312078195,-19.046035687921805
2023-12-13,4,10,1-3-6,9.8,20.83058574042955,11.03058574042955
2023-12-13,4,11,1-3-2,15.6,16.444852505572015,0.8448525055720157
2023-12-13,4,12,1-2-5,48.4,17.431754225329474,-30.968245774670525
2023-12-14,5,2,1-5-6,147.6,34.38612879629144,-113.21387120370855
2023-12-14,5,3,1-4-5,35.3,20.605251951071406,-14.694748048928592
2023-12-14,5,5,1-5-3,35.1,20.743223967730973,-14.356776032269028
2023-12-14,5,6,1-2-4,10.6,7.63836049436573,-2.9616395056342695
2023-12-14,5,7,1-3-2,10.3,10.07499539641154,-0.2250046035884612
2023-12-14,5,8,1-3-4,8.1,8.246859982140686,0.14685998214068618
2023-12-14,5,9,1-4-2,10.2,11.74011189879338,1.5401118987933806
2023-12-14,5,10,1-5-2,25.3,25.855694183554224,0.5556941835542233
2023-12-14,5,11,1-4-6,33.9,28.47043546708691,-5.429564532913087
2023-12-14,5,12,1-3-2,11.6,16.217963937940123,4.617963937940123
2023-12-15,6,1,1-2-4,10.0,9.96958541009653,-0.030414589903470457
2023-12-15,6,2,1-5-4,51.5,30.47154461789712,-21.02845538210288
2023-12-15,6,3,1-2-4,12.7,8.726568092918544,-3.973431907081455
2023-12-15,6,5,1-5-6,63.0,27.19843384655811,-35.80156615344189
2023-12-15,6,6,1-3-6,16.8,14.747187548036724,-2.052812451963277
2023-12-15,6,7,1-2-4,9.8,7.4648737685374495,-2.335126231462551
2023-12-15,6,8,1-3-5,6.4,15.1016500021577,8.701650002157699
2023-12-15,6,11,1-3-6,31.5,16.682954014516802,-14.817045985483198
2023-12-15,6,12,1-5-6,47.1,39.50663367204266,-7.593366327957341
2023-12-23,1,2,1-6-4,182.0,34.90203618598708,-147.09796381401293
2023-12-23,1,8,1-4-3,18.7,13.245890126546902,-5.454109873453097
2023-12-23,1,11,1-3-4,10.3,13.181903153723882,2.881903153723881
2023-12-23,1,12,1-4-6,24.3,17.072419452312946,-7.2275805476870545
2023-12-24,2,1,1-6-3,70.5,76.32689706004703,5.826897060047031
2023-12-24,2,10,1-3-5,52.9,26.010343623398285,-26.889656376601714
