レース場,タイプ,季節,艇,1着率(%),2着率(%),3着率(%),2連帯率(%),3連帯率(%)
蒲郡,季節別連帯率,秋(9-11月),6,,,,11.58,27.08
蒲郡,季節別連帯率,冬(12-2月),1,,,,71.79,81.1
蒲郡,季節別連帯率,冬(12-2月),2,,,,36.1,53.93
蒲郡,季節別連帯率,冬(12-2月),3,,,,33.46,52.47
蒲郡,季節別連帯率,冬(12-2月),4,,,,29.44,50.82
蒲郡,季節別連帯率,冬(12-2月),5,,,,19.53,38.04
蒲郡,季節別連帯率,冬(12-2月),6,,,,12.76,28.32
丸亀,全体着率,-,1,53.18,18.64,8.96,,
丸亀,全体着率,-,2,14.91,24.3,18.6,,
丸亀,全体着率,-,3,12.58,19.82,19.76,,
丸亀,全体着率,-,4,10.93,17.92,20.45,,
丸亀,全体着率,-,5,6.37,11.99,17.5,,
丸亀,全体着率,-,6,3.47,8.81,16.17,,
丸亀,全体連帯率,-,1,,,,71.82,80.77
丸亀,全体連帯率,-,2,,,,39.21,57.81
丸亀,全体連帯率,-,3,,,,32.41,52.17
丸亀,全体連帯率,-,4,,,,28.85,49.3
丸亀,全体連帯率,-,5,,,,18.36,35.85
丸亀,全体連帯率,-,6,,,,12.27,28.44
丸亀,季節別着率,春(3-5月),1,54.76,18.0,9.0,,
丸亀,季節別着率,春(3-5月),2,14.74,25.05,18.24,,
丸亀,季節別着率,春(3-5月),3,12.14,20.12,19.69,,
丸亀,季節別着率,春(3-5月),4,10.09,17.69,20.61,,
丸亀,季節別着率,春(3-5月),5,6.21,11.72,17.94,,
丸亀,季節別着率,春(3-5月),6,3.37,8.81,15.86,,
丸亀,季節別着率,夏(6-8月),1,54.63,18.58,8.6,,
丸亀,季節別着率,夏(6-8月),2,14.63,24.67,18.6,,
丸亀,季節別着率,夏(6-8月),3,12.25,19.4,19.82,,
丸亀,季節別着率,夏(6-8月),4,10.24,16.51,20.99,,
丸亀,季節別着率,夏(6-8月),5,6.1,12.9,17.14,,
丸亀,季節別着率,夏(6-8月),6,3.61,9.47,16.3,,
丸亀,季節別着率,秋(9-11月),1,51.98,19.45,8.76,,
丸亀,季節別着率,秋(9-11月),2,15.53,23.56,18.85,,
丸亀,季節別着率,秋(9-11月),3,12.99,19.87,20.41,,
丸亀,季節別着率,秋(9-11月),4,11.36,18.81,20.02,,
丸亀,季節別着率,秋(9-11月),5,6.33,11.96,17.4,,
丸亀,季節別着率,秋(9-11月),6,3.31,7.8,16.01,,
丸亀,季節別着率,冬(12-2月),1,51.56,18.57,9.38,,
丸亀,季節別着率,冬(12-2月),2,14.78,23.93,18.71,,
丸亀,季節別着率,冬(12-2月),3,12.92,19.87,19.25,,
丸亀,季節別着率,冬(12-2月),4,11.9,18.57,20.22,,
丸亀,季節別着率,冬(12-2月),5,6.77,11.49,17.47,,
丸亀,季節別着率,冬(12-2月),6,3.57,9.09,16.46,,
丸亀,季節別連帯率,春(3-5月),1,,,,72.76,81.76
丸亀,季節別連帯率,春(3-5月),2,,,,39.79,58.03
丸亀,季節別連帯率,春(3-5月),3,,,,32.26,51.95
丸亀,季節別連帯率,春(3-5月),4,,,,27.78,48.39
丸亀,季節別連帯率,春(3-5月),5,,,,17.93,35.87
丸亀,季節別連帯率,春(3-5月),6,,,,12.18,28.04
丸亀,季節別連帯率,夏(6-8月),1,,,,73.21,81.82
丸亀,季節別連帯率,夏(6-8月),2,,,,39.3,57.9
丸亀,季節別連帯率,夏(6-8月),3,,,,31.65,51.47
丸亀,季節別連帯率,夏(6-8月),4,,,,26.75,47.73
丸亀,季節別連帯率,夏(6-8月),5,,,,18.99,36.14
丸亀,季節別連帯率,夏(6-8月),6,,,,13.08,29.38
丸亀,季節別連帯率,秋(9-11月),1,,,,71.43,80.19
丸亀,季節別連帯率,秋(9-11月),2,,,,39.09,57.95
丸亀,季節別連帯率,秋(9-11月),3,,,,32.86,53.26
丸亀,季節別連帯率,秋(9-11月),4,,,,30.17,50.18
丸亀,季節別連帯率,秋(9-11月),5,,,,18.29,35.7
丸亀,季節別連帯率,秋(9-11月),6,,,,11.11,27.12
丸亀,季節別連帯率,冬(12-2月),1,,,,70.13,79.5
丸亀,季節別連帯率,冬(12-2月),2,,,,38.71,57.42
丸亀,季節別連帯率,冬(12-2月),3,,,,32.79,52.04
丸亀,季節別連帯率,冬(12-2月),4,,,,30.47,50.69
丸亀,季節別連帯率,冬(12-2月),5,,,,18.26,35.73
丸亀,季節別連帯率,冬(12-2月),6,,,,12.66,29.12
宮島,全体着率,-,1,55.54,16.88,8.98,,
宮島,全体着率,-,2,13.48,25.06,19.46,,
宮島,全体着率,-,3,12.79,22.26,20.34,,
宮島,全体着率,-,4,9.99,16.58,19.76,,
宮島,全体着率,-,5,6.26,12.41,17.51,,
宮島,全体着率,-,6,3.53,8.4,15.53,,
宮島,全体連帯率,-,1,,,,72.42,81.39
宮島,全体連帯率,-,2,,,,38.54,58.0
宮島,全体連帯率,-,3,,,,35.05,55.39
宮島,全体連帯率,-,4,,,,26.57,46.33
宮島,全体連帯率,-,5,,,,18.67,36.18
宮島,全体連帯率,-,6,,,,11.93,27.46
宮島,季節別着率,春(3-5月),1,57.05,16.03,8.83,,
宮島,季節別着率,春(3-5月),2,12.75,25.21,19.66,,
宮島,季節別着率,春(3-5月),3,12.12,23.29,19.91,,
宮島,季節別着率,春(3-5月),4,9.7,16.15,20.25,,
宮島,季節別着率,春(3-5月),5,6.41,12.93,17.74,,
宮島,季節別着率,春(3-5月),6,3.56,8.07,15.27,,
宮島,季節別着率,夏(6-8月),1,54.79,16.68,8.96,,
宮島,季節別着率,夏(6-8月),2,13.25,24.23,19.0,,
宮島,季節別着率,夏(6-8月),3,12.83,22.68,20.02,,
宮島,季節別着率,夏(6-8月),4,10.85,16.7,19.4,,
宮島,季節別着率,夏(6-8月),5,6.28,12.99,18.14,,
宮島,季節別着率,夏(6-8月),6,3.6,8.3,16.0,,
宮島,季節別着率,秋(9-11月),1,55.22,17.35,8.85,,
宮島,季節別着率,秋(9-11月),2,13.31,25.63,19.65,,
宮島,季節別着率,秋(9-11月),3,13.44,21.16,20.75,,
宮島,季節別着率,秋(9-11月),4,9.7,16.28,19.17,,
宮島,季節別着率,秋(9-11月),5,6.3,12.33,17.25,,
宮島,季節別着率,秋(9-11月),6,3.35,8.56,15.74,,
宮島,季節別着率,冬(12-2月),1,55.09,17.51,9.26,,
宮島,季節別着率,冬(12-2月),2,14.62,25.25,19.58,,
宮島,季節別着率,冬(12-2月),3,12.86,21.76,20.75,,
宮島,季節別着率,冬(12-2月),4,9.62,17.16,20.18,,
宮島,季節別着率,冬(12-2月),5,6.04,11.36,16.85,,
宮島,季節別着率,冬(12-2月),6,3.61,8.67,15.12,,
宮島,季節別連帯率,春(3-5月),1,,,,73.09,81.91
宮島,季節別連帯率,春(3-5月),2,,,,37.96,57.62
宮島,季節別連帯率,春(3-5月),3,,,,35.41,55.32
宮島,季節別連帯率,春(3-5月),4,,,,25.85,46.1
宮島,季節別連帯率,春(3-5月),5,,,,19.34,37.07
宮島,季節別連帯率,春(3-5月),6,,,,11.63,26.9
宮島,季節別連帯率,夏(6-8月),1,,,,71.47,80.42
宮島,季節別連帯率,夏(6-8月),2,,,,37.48,56.48
宮島,季節別連帯率,夏(6-8月),3,,,,35.51,55.53
宮島,季節別連帯率,夏(6-8月),4,,,,27.56,46.96
宮島,季節別連帯率,夏(6-8月),5,,,,19.27,37.4
宮島,季節別連帯率,夏(6-8月),6,,,,11.9,27.9
宮島,季節別連帯率,秋(9-11月),1,,,,72.57,81.42
宮島,季節別連帯率,秋(9-11月),2,,,,38.95,58.6
宮島,季節別連帯率,秋(9-11月),3,,,,34.6,55.35
宮島,季節別連帯率,秋(9-11月),4,,,,25.98,45.15
宮島,季節別連帯率,秋(9-11月),5,,,,18.63,35.88
宮島,季節別連帯率,秋(9-11月),6,,,,11.91,27.66
宮島,季節別連帯率,冬(12-2月),1,,,,72.6,81.85
宮島,季節別連帯率,冬(12-2月),2,,,,39.87,59.45
宮島,季節別連帯率,冬(12-2月),3,,,,34.62,55.37
宮島,季節別連帯率,冬(12-2月),4,,,,26.78,46.96
宮島,季節別連帯率,冬(12-2月),5,,,,17.39,34.25
宮島,季節別連帯率,冬(12-2月),6,,,,12.28,27.4
桐生,全体着率,-,1,49.49,18.37,10.37,,
桐生,全体着率,-,2,14.44,24.15,18.82,,
桐生,全体着率,-,3,13.05,20.54,19.37,,
桐生,全体着率,-,4,12.68,15.96,19.19,,
桐生,全体着率,-,5,7.72,13.62,18.19,,
桐生,全体着率,-,6,3.84,8.71,15.48,,
桐生,全体連帯率,-,1,,,,67.85,78.22
桐生,全体連帯率,-,2,,,,38.59,57.42
桐生,全体連帯率,-,3,,,,33.6,52.96
桐生,全体連帯率,-,4,,,,28.64,47.83
