開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-02-08,4,6,2025-02-08,3,0.13619087993226076,0,0,True
2025-02-08,4,7,2025-02-08,2,0.5324494674755041,1,0,False
2025-02-08,4,8,2025-02-08,2,0.7755686476063588,1,0,False
2025-02-08,4,9,2025-02-08,1,0.7129633316222962,1,1,True
2025-02-08,4,10,2025-02-08,1,0.4137376425494052,0,1,False
2025-02-08,4,11,2025-02-08,2,0.6451333982600449,1,0,False
2025-02-09,5,2,2025-02-09,1,0.8116058065625976,1,1,True
2025-02-09,5,3,2025-02-09,1,0.44937608736348195,0,1,False
2025-02-09,5,4,2025-02-09,2,0.3487435676194915,0,0,True
2025-02-09,5,5,2025-02-09,2,0.18004489839213703,0,0,True
2025-02-09,5,6,2025-02-09,4,0.6640525581799568,1,0,False
2025-02-09,5,7,2025-02-09,1,0.7773139539677876,1,1,True
2025-02-09,5,8,2025-02-09,1,0.5608033578216289,1,1,True
2025-02-09,5,9,2025-02-09,1,0.40901182235582756,0,1,False
2025-02-09,5,10,2025-02-09,1,0.8024802669029205,1,1,True
2025-02-09,5,11,2025-02-09,2,0.7203405231134173,1,0,False
2025-02-10,6,2,2025-02-10,1,0.5932333855864478,1,1,True
2025-02-10,6,3,2025-02-10,6,0.6985283195768759,1,0,False
2025-02-10,6,4,2025-02-10,1,0.821119699463579,1,1,True
2025-02-10,6,5,2025-02-10,1,0.5708259016359649,1,1,True
2025-02-10,6,6,2025-02-10,2,0.6637216700952968,1,0,False
2025-02-10,6,7,2025-02-10,1,0.6945354501055091,1,1,True
2025-02-10,6,8,2025-02-10,1,0.69280765251475,1,1,True
2025-02-10,6,9,2025-02-10,1,0.6947642242052313,1,1,True
2025-02-10,6,10,2025-02-10,1,0.5325870935699707,1,1,True
2025-02-10,6,11,2025-02-10,1,0.8314075580848568,1,1,True
2025-02-10,6,12,2025-02-10,1,0.7697852625817618,1,1,True
2025-02-13,1,2,2025-02-13,1,0.7206929507369592,1,1,True
2025-02-13,1,3,2025-02-13,6,0.5749053575689056,1,0,False
2025-02-13,1,4,2025-02-13,1,0.49964417399289957,0,1,False
2025-02-13,1,5,2025-02-13,5,0.747155171510634,1,0,False
2025-02-13,1,6,2025-02-13,1,0.5763699567749397,1,1,True
2025-02-13,1,7,2025-02-13,1,0.48523479500316274,0,1,False
2025-02-13,1,8,2025-02-13,1,0.7325273224447176,1,1,True
2025-02-13,1,9,2025-02-13,1,0.7486212917998409,1,1,True
2025-02-13,1,10,2025-02-13,1,0.6960085695933217,1,1,True
2025-02-13,1,11,2025-02-13,4,0.12144982204545442,0,0,True
2025-02-13,1,12,2025-02-13,1,0.786721443526423,1,1,True
2025-02-14,2,2,2025-02-14,6,0.394716452802374,0,0,True
2025-02-14,2,3,2025-02-14,1,0.6556914873975739,1,1,True
2025-02-14,2,4,2025-02-14,1,0.5175546347277696,1,1,True
2025-02-14,2,5,2025-02-14,1,0.7396158969764229,1,1,True
2025-02-14,2,6,2025-02-14,1,0.8302271234990681,1,1,True
2025-02-14,2,7,2025-02-14,3,0.5298564770243627,1,0,False
2025-02-14,2,8,2025-02-14,1,0.7290427823693866,1,1,True
2025-02-14,2,9,2025-02-14,5,0.42863912018237155,0,0,True
2025-02-14,2,10,2025-02-14,1,0.6849043981401804,1,1,True
2025-02-14,2,11,2025-02-14,1,0.8625084554455515,1,1,True
2025-02-14,2,12,2025-02-14,2,0.7838845617614537,1,0,False
2025-02-15,3,1,2025-02-15,1,0.21747232874092137,0,1,False
2025-02-15,3,2,2025-02-15,1,0.4133035418521631,0,1,False
2025-02-15,3,3,2025-02-15,4,0.23330576934020736,0,0,True
2025-02-15,3,4,2025-02-15,1,0.5911029176102718,1,1,True
2025-02-15,3,5,2025-02-15,6,0.6416189107241537,1,0,False
2025-02-15,3,6,2025-02-15,2,0.4095210340838243,0,0,True
2025-02-15,3,7,2025-02-15,1,0.7524547620646247,1,1,True
2025-02-15,3,8,2025-02-15,1,0.7483360442453941,1,1,True
2025-02-15,3,9,2025-02-15,3,0.5930363491805138,1,0,False
2025-02-15,3,10,2025-02-15,1,0.7736111873220038,1,1,True
2025-02-15,3,11,2025-02-15,1,0.7988915634395367,1,1,True
2025-02-15,3,12,2025-02-15,1,0.7521323485532468,1,1,True
2025-02-16,4,2,2025-02-16,4,0.47440341475798253,0,0,True
2025-02-16,4,3,2025-02-16,1,0.7434042227866142,1,1,True
2025-02-16,4,4,2025-02-16,3,0.028231189687501244,0,0,True
2025-02-16,4,5,2025-02-16,1,0.5309885985620311,1,1,True
2025-02-16,4,6,2025-02-16,6,0.5616806345345481,1,0,False
2025-02-16,4,7,2025-02-16,1,0.7865799471834325,1,1,True
2025-02-16,4,8,2025-02-16,1,0.8802108279345391,1,1,True
2025-02-16,4,9,2025-02-16,1,0.7627359827999527,1,1,True
2025-02-16,4,10,2025-02-16,1,0.7752133614351134,1,1,True
2025-02-16,4,11,2025-02-16,3,0.5084815368572659,1,0,False
2025-02-16,4,12,2025-02-16,1,0.737494762232952,1,1,True
2025-02-17,5,1,2025-02-17,6,0.3599961062543586,0,0,True
2025-02-17,5,2,2025-02-17,3,0.40550635346875713,0,0,True
2025-02-17,5,3,2025-02-17,2,0.14574151596168522,0,0,True
2025-02-17,5,4,2025-02-17,2,0.4485064578259878,0,0,True
2025-02-17,5,5,2025-02-17,6,0.5695204302535206,1,0,False
2025-02-17,5,6,2025-02-17,2,0.28915227467224214,0,0,True
2025-02-17,5,7,2025-02-17,4,0.5263799896153485,1,0,False
2025-02-17,5,8,2025-02-17,6,0.47903035030389995,0,0,True
2025-02-17,5,9,2025-02-17,1,0.7031065115695653,1,1,True
2025-02-17,5,10,2025-02-17,2,0.6455682205765324,1,0,False
2025-02-17,5,11,2025-02-17,1,0.7552408609030886,1,1,True
2025-02-17,5,12,2025-02-17,1,0.6511408725697988,1,1,True
2025-02-18,6,1,2025-02-18,1,0.7050407966940251,1,1,True
2025-02-18,6,2,2025-02-18,4,0.435178502673281,0,0,True
2025-02-18,6,3,2025-02-18,5,0.027808311136624735,0,0,True
2025-02-18,6,4,2025-02-18,1,0.7247008119026538,1,1,True
2025-02-18,6,5,2025-02-18,3,0.4359116425305324,0,0,True
2025-02-18,6,6,2025-02-18,1,0.5897644411361831,1,1,True
2025-02-18,6,7,2025-02-18,3,0.11820722251180225,0,0,True
2025-02-18,6,8,2025-02-18,1,0.5310203591998889,1,1,True
2025-02-19,7,1,2025-02-19,2,0.24909269691157573,0,0,True
2025-02-19,7,2,2025-02-19,4,0.13976753441844642,0,0,True
2025-02-19,7,3,2025-02-19,1,0.5151627775283992,1,1,True
2025-02-19,7,4,2025-02-19,1,0.6616394121247327,1,1,True
2025-02-19,7,5,2025-02-19,6,0.49071143178867255,0,0,True
2025-02-19,7,6,2025-02-19,1,0.7257563453747976,1,1,True
2025-02-19,7,7,2025-02-19,1,0.7036733092892573,1,1,True
2025-02-19,7,8,2025-02-19,2,0.8320883959157103,1,0,False
2025-02-19,7,9,2025-02-19,1,0.42908396026136925,0,1,False
2025-02-19,7,10,2025-02-19,1,0.6565831810962663,1,1,True
2025-02-19,7,11,2025-02-19,2,0.538978915463196,1,0,False
2025-02-19,7,12,2025-02-19,1,0.7222348307351022,1,1,True
2025-02-23,1,1,2025-02-23,2,0.3841101888175734,0,0,True
2025-02-23,1,2,2025-02-23,1,0.420443933649039,0,1,False
