開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,4,4-5-3,0.009695651688066504,36
2025-01-01,3,4,5-2-6,0.009476917454186053,37
2025-01-01,3,4,1-3-5,0.009281513833928185,38
2025-01-01,3,4,2-5-6,0.009138734370393845,39
2025-01-01,3,4,3-6-1,0.009113898849997847,40
2025-01-01,3,4,5-1-3,0.00907526377172747,41
2025-01-01,3,4,5-6-2,0.008967877760007785,42
2025-01-01,3,4,2-4-3,0.008644738592751906,43
2025-01-01,3,4,6-3-4,0.008629325502713333,44
2025-01-01,3,4,3-1-6,0.008319869917868978,45
2025-01-01,3,4,6-5-2,0.008291826544021894,46
2025-01-01,3,4,2-6-5,0.008278311724020668,47
2025-01-01,3,4,4-2-3,0.007939849472112489,48
2025-01-01,3,4,6-2-5,0.007937492873524616,49
2025-01-01,3,4,1-3-2,0.007921606092350429,50
2025-01-01,3,4,1-5-3,0.007905439348481426,51
2025-01-01,3,4,4-3-6,0.007737679271480646,52
2025-01-01,3,4,6-3-1,0.007308148378092424,53
2025-01-01,3,4,2-1-3,0.007172740718444013,54
2025-01-01,3,4,5-2-4,0.006842903487828367,55
2025-01-01,3,4,2-5-4,0.006598714993542805,56
2025-01-01,3,4,1-2-3,0.006479372231160182,57
2025-01-01,3,4,1-3-6,0.006285298585136941,58
2025-01-01,3,4,6-4-3,0.006271005798335427,59
2025-01-01,3,4,3-4-1,0.006160168093227484,60
2025-01-01,3,4,5-4-2,0.006124155771266892,61
2025-01-01,3,4,3-1-4,0.006007445686267579,62
2025-01-01,3,4,4-6-3,0.006006977892270408,63
2025-01-01,3,4,5-2-1,0.005795233243929837,64
2025-01-01,3,4,2-4-5,0.005666384254114114,65
2025-01-01,3,4,2-5-1,0.005588430783192814,66
2025-01-01,3,4,4-5-2,0.00542407378462239,67
2025-01-01,3,4,6-1-3,0.005208107906047501,68
2025-01-01,3,4,4-2-5,0.0052043491594455015,69
2025-01-01,3,4,5-6-4,0.0051377819368695786,70
2025-01-01,3,4,5-1-2,0.005077007909983683,71
2025-01-01,3,4,1-6-3,0.004906662646362941,72
2025-01-01,3,4,5-4-6,0.004859134265899983,73
2025-01-01,3,4,6-5-4,0.0047504658049101695,74
2025-01-01,3,4,4-3-1,0.0047316710693881174,75
2025-01-01,3,4,2-1-5,0.0047015308363299105,76
2025-01-01,3,4,1-3-4,0.004538363008667807,77
2025-01-01,3,4,1-5-2,0.004422568766449925,78
2025-01-01,3,4,5-6-1,0.004351171214612286,79
2025-01-01,3,4,4-5-6,0.004303663030794558,80
2025-01-01,3,4,1-2-5,0.0042470471944603735,81
2025-01-01,3,4,6-4-5,0.0041104688281655205,82
2025-01-01,3,4,2-6-4,0.004047829306161341,83
2025-01-01,3,4,5-1-6,0.004028287983691107,84
2025-01-01,3,4,6-5-1,0.004023154411827623,85
2025-01-01,3,4,4-6-5,0.003937405923657579,86
2025-01-01,3,4,6-2-4,0.0038811798035668565,87
2025-01-01,3,4,2-4-6,0.003837188369534811,88
2025-01-01,3,4,4-2-6,0.003524305301237408,89
2025-01-01,3,4,1-5-6,0.003509031487602132,90
2025-01-01,3,4,6-4-2,0.0035082116445902677,91
2025-01-01,3,4,4-1-3,0.0034350874504985155,92
2025-01-01,3,4,2-6-1,0.0034280937912605594,93
2025-01-01,3,4,6-1-5,0.0034137690013319906,94
2025-01-01,3,4,1-4-3,0.0033785098718316195,95
2025-01-01,3,4,4-6-2,0.0033605055501707806,96
2025-01-01,3,4,6-2-1,0.003286958856471873,97
2025-01-01,3,4,1-6-5,0.0032161800685230712,98
2025-01-01,3,4,2-1-6,0.003183804457150231,99
2025-01-01,3,4,5-4-1,0.0029714109646511375,100
2025-01-01,3,4,6-1-2,0.002913590800239471,101
2025-01-01,3,4,5-1-4,0.0029086658216486987,102
2025-01-01,3,4,1-2-6,0.002876035116682469,103
2025-01-01,3,4,1-6-2,0.0027449521792207144,104
2025-01-01,3,4,4-5-1,0.002631734547367602,105
2025-01-01,3,4,1-5-4,0.0025337314502835366,106
2025-01-01,3,4,2-4-1,0.0023464804573692442,107
2025-01-01,3,4,2-1-4,0.002298898004516596,108
2025-01-01,3,4,4-1-5,0.0022516037046313494,109
2025-01-01,3,4,1-4-5,0.0022145186849451787,110
2025-01-01,3,4,4-2-1,0.0021551492183217885,111
2025-01-01,3,4,1-2-4,0.0020766700592469846,112
2025-01-01,3,4,4-1-2,0.0019217035004534045,113
2025-01-01,3,4,1-4-2,0.001890052099277119,114
2025-01-01,3,4,6-4-1,0.0017021674393001042,115
2025-01-01,3,4,6-1-4,0.0016692237099457008,116
2025-01-01,3,4,4-6-1,0.0016305011517502256,117
2025-01-01,3,4,1-6-4,0.0015726090499207175,118
2025-01-01,3,4,4-1-6,0.0015247514394986373,119
2025-01-01,3,4,1-4-6,0.0014996380338695673,120
2025-01-01,3,5,5-4-1,0.025916321267362947,1
2025-01-01,3,5,5-1-4,0.025902830589553585,2
2025-01-01,3,5,4-5-1,0.023270142672205348,3
2025-01-01,3,5,1-5-4,0.023250026878634505,4
2025-01-01,3,5,5-4-3,0.02040057529244766,5
2025-01-01,3,5,5-1-3,0.020360345797560613,6
2025-01-01,3,5,4-1-5,0.02014696250504184,7
2025-01-01,3,5,1-4-5,0.02014003037733858,8
2025-01-01,3,5,5-4-6,0.019480404551454254,9
2025-01-01,3,5,5-1-6,0.019441989613440694,10
2025-01-01,3,5,5-3-4,0.018946613687054397,11
2025-01-01,3,5,5-3-1,0.01891909966429791,12
2025-01-01,3,5,4-5-3,0.018317580367710452,13
2025-01-01,3,5,1-5-3,0.0182751682452221,14
2025-01-01,3,5,5-6-4,0.017880866958297763,15
2025-01-01,3,5,5-6-1,0.017854900598898535,16
2025-01-01,3,5,4-5-6,0.017491363397917337,17
2025-01-01,3,5,1-5-6,0.01745086428001919,18
2025-01-01,3,5,3-5-4,0.01619094238559748,19
2025-01-01,3,5,3-5-1,0.016167430112396353,20
2025-01-01,3,5,6-5-4,0.015158965933924101,21
2025-01-01,3,5,6-5-1,0.015136952283328805,22
