開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2024-09-09,5,9,1-3-2,6.4,11.636589309324084,5.236589309324083
2024-09-09,5,10,2-1-3,13.2,29.70767784275424,16.50767784275424
2024-09-09,5,11,1-3-2,6.1,12.21847995232366,6.118479952323661
2024-09-09,5,12,1-2-3,8.0,11.429843088275199,3.4298430882751987
2024-09-12,1,1,1-2-6,27.3,21.877901797055454,-5.422098202944547
2024-09-12,1,2,1-6-3,12.4,41.092120902175346,28.692120902175347
2024-09-12,1,3,2-3-6,57.8,43.04597981877943,-14.754020181220568
2024-09-12,1,4,4-1-2,19.6,47.61741897827591,28.017418978275906
2024-09-12,1,5,5-1-3,37.7,116.92877724607392,79.22877724607392
2024-09-12,1,6,3-1-2,43.1,32.17385718921394,-10.926142810786061
2024-09-12,1,7,2-4-1,22.1,34.19833896349546,12.098338963495458
2024-09-12,1,9,1-5-2,18.0,26.183810974284654,8.183810974284654
2024-09-12,1,10,3-5-1,52.0,100.22171882622582,48.221718826225825
2024-09-12,1,11,1-2-3,5.7,9.74098014591895,4.04098014591895
2024-09-12,1,12,1-4-3,16.5,18.039152990488397,1.5391529904883967
2024-09-13,2,1,2-1-5,23.2,35.8445537634259,12.6445537634259
2024-09-13,2,3,3-4-6,63.7,48.10217026720855,-15.597829732791453
2024-09-13,2,4,1-4-3,20.6,24.731778820000933,4.131778820000932
2024-09-13,2,6,3-1-4,9.3,23.35863142442706,14.058631424427059
2024-09-13,2,7,2-1-3,41.2,20.961235408558927,-20.238764591441075
2024-09-13,2,8,1-2-3,7.3,7.099658023379533,-0.20034197662046704
2024-09-13,2,10,4-1-2,24.5,40.10789015713382,15.607890157133824
2024-09-13,2,12,1-3-6,38.1,30.56515555360372,-7.534844446396281
2024-09-14,3,1,5-1-4,49.5,102.20938916679391,52.70938916679391
2024-09-14,3,2,3-4-2,49.1,59.159569498318895,10.059569498318893
2024-09-14,3,3,1-5-3,15.2,29.70067508477948,14.50067508477948
2024-09-14,3,4,4-5-3,399.9,103.43980206127279,-296.4601979387272
2024-09-14,3,5,1-6-5,43.4,51.063128193016894,7.663128193016895
2024-09-14,3,7,1-2-4,58.4,12.57305832589886,-45.826941674101136
2024-09-14,3,8,3-1-2,56.1,37.85695088517549,-18.243049114824508
2024-09-14,3,9,2-1-6,12.2,35.12008116272703,22.920081162727033
2024-09-14,3,10,1-2-6,6.3,15.74447747547673,9.44447747547673
2024-09-14,3,11,1-2-4,11.1,7.990684995703793,-3.1093150042962066
2024-09-14,3,12,2-1-3,75.9,35.03398417729986,-40.86601582270015
2024-09-15,4,1,2-1-4,25.6,41.77809132381407,16.178091323814066
2024-09-15,4,2,5-4-3,224.1,155.49693414991043,-68.60306585008956
