開催日,日目,レース,実際3連単,予測3連単,予測確率,的中組み合わせ予測確率,的中組み合わせ予測順位,確率合計,NDCG@1,NDCG@3
2024-05-01,3,11,1-4-2,4-1-6,0.02165439935976642,0.018261181825696655,7,0.9999999999999998,0.49206349206349204,0.8244453183899282
2024-05-01,3,12,2-4-3,1-4-5,0.07883571188346808,0.0022390198491281247,64,0.9999999999999996,0.047619047619047616,0.28935335459241335
2024-05-02,4,1,2-1-4,4-2-6,0.043058812494387526,0.012924454892946304,24,1.0000000000000004,0.23809523809523808,0.6245759493690446
2024-05-02,4,2,1-2-5,6-1-2,0.028952329587600495,0.006361112396834374,62,0.9999999999999998,0.1111111111111111,0.6911990723760059
2024-05-02,4,4,2-1-3,3-5-4,0.038307852220546196,0.0047470624168089465,70,0.9999999999999997,0.23809523809523808,0.22114999677908337
2024-05-02,4,5,1-2-3,4-1-5,0.0820196138679207,0.0007816058726867229,89,1.0,0.015873015873015872,0.49132970335512205
2024-05-02,4,6,1-3-4,1-4-3,0.06766456632410443,0.0648365316779799,2,0.9999999999999996,1.0,0.9767388024601004
2024-05-02,4,7,4-5-1,5-3-2,0.028567567034810167,0.0077634649881642365,49,1.0,0.49206349206349204,0.39881165813098
2024-05-02,4,8,1-2-4,1-4-2,0.062620714688606,0.044602956159774054,4,1.0,1.0,0.9767388024601004
2024-05-02,4,9,1-3-5,6-5-1,0.05665221676747776,0.0020601070408844315,67,0.9999999999999997,0.015873015873015872,0.46596152607339747
2024-05-02,4,10,1-6-4,4-2-1,0.08215363925893823,0.0017544470215946565,75,1.0000000000000004,0.23809523809523808,0.5233349550674402
2024-05-02,4,12,1-6-4,6-4-2,0.04297895375087266,0.02666315040307021,15,0.9999999999999999,0.49206349206349204,0.46596152607339747
2024-05-04,1,1,3-1-4,3-1-4,0.019550124180803225,0.019550124180803225,1,0.9999999999999993,1.0,1.0
2024-05-04,1,2,1-2-3,3-1-6,0.023889349286644254,0.011311258353377988,26,1.0000000000000002,0.23809523809523808,0.6467836570380316
2024-05-04,1,3,2-1-4,2-6-4,0.028183296075554098,0.008482148574799396,43,0.9999999999999999,1.0,0.8038389506222661
2024-05-04,1,5,1-4-5,4-2-1,0.04678665609929804,0.02163078932757215,10,1.0000000000000004,0.49206349206349204,0.7009966164193369
2024-05-04,1,6,1-3-4,4-1-3,0.05698821931354022,0.0448160935347905,5,1.0000000000000002,0.23809523809523808,0.7800299030519541
2024-05-04,1,7,1-2-5,5-1-2,0.049834193319938484,0.022630298558188183,9,1.0,0.23809523809523808,0.7800299030519541
2024-05-04,1,8,1-2-3,1-4-2,0.06558519299848922,0.037265633729666174,6,1.0000000000000002,1.0,0.8926697812982144
2024-05-04,1,9,1-3-2,2-3-1,0.06693239613857332,0.022910873290423076,15,0.9999999999999994,0.23809523809523808,0.733507507972155
2024-05-04,1,11,1-2-5,1-5-6,0.03131662353922201,0.018947664995969397,13,1.0,1.0,0.8212848487771908
2024-05-04,1,12,1-2-3,1-6-5,0.020120838845435925,0.006569094131107928,65,1.0,1.0,0.7261119737808113
2024-05-05,2,1,1-4-6,4-2-6,0.058606811465709625,0.019382203902553734,20,0.9999999999999999,0.49206349206349204,0.4485156279184728
2024-05-05,2,2,2-4-3,5-3-6,0.036383655434437445,0.002921246407391972,92,1.0000000000000002,0.015873015873015872,0.15505361870757833
2024-05-05,2,3,1-5-2,2-1-5,0.13831262822565127,0.053712318149861264,5,1.0000000000000002,0.23809523809523808,0.7800299030519541
2024-05-05,2,4,3-2-6,6-3-4,0.02127312010038054,0.00945086617613084,43,1.0000000000000002,0.23809523809523808,0.6467836570380316
2024-05-05,2,5,1-3-5,3-2-5,0.057170663592239254,0.0077530277950994585,39,0.9999999999999996,0.49206349206349204,0.4485156279184728
2024-05-05,2,6,2-1-5,4-1-3,0.07043608086926405,0.004583628107345219,49,0.9999999999999996,0.1111111111111111,0.3004572084269069
